problem_id	display_no	section	no	old_len	new_len	diff
8e8c63e0-f65e-43fe-98db-394f0876131f	7513	행위능력	1	1244	866	378
46679b6c-88b6-4c8d-81e6-8b99b9162963	7603	선출원주의	5	777	653	124
6cd02fc4-c97a-43a9-8d50-344bfa7be9fe	7536	기일, 기간 및 추후보완	3	392	273	119
de986376-9296-4d25-8c7c-3ebfdb3c819a	7780	출원의 취하, 포기에 의한 종료	5	729	611	118
6b9f1cea-50b0-43cd-b303-16bb5bfe2e92	7813	존속기간과 연장제도	12	591	473	118
a3847d97-66ae-4ad5-8c1a-4fed8163baa2	7740	국내우선권주장출원	13	748	630	118
d91bf694-9bba-450f-9d2d-b4089b51063e	7964	특허무효심판	2	239	123	116
9890a72b-9cff-4e38-9c42-fca251dc9ff8	7596	확대된 선출원	4	293	177	116
092dc36d-1691-4c8d-b252-1cae88144cd3	7901	강제실시권	6	330	214	116
5e47029e-3bb5-4025-859b-3aeb6dafbf0e	7698	분할출원	6	449	333	116
c35c2584-2b99-4888-9737-641f932e6515	7631	직무발명	6	508	392	116
f291227e-3587-48e9-9cdb-bee675b67764	7738	국내우선권주장출원	11	772	656	116
f71e3247-1284-45ff-8376-32a3c02325d2	7587	진보성	4	848	737	111
06758773-ad0b-4e4d-a72f-8d758c31fa3e	7546	특허에 관한 절차 일반	6	495	441	54
7d42090c-ab1e-49c3-b315-9052ffadf31c	7945	본안심리	5	609	584	25
06c76d4a-2d4c-4f30-ba49-18286035e462	7537	기일, 기간 및 추후보완	4	356	348	8
e70c4d6e-c2f6-4953-984c-c028ecf90d04	8038	특허소송	14	823	819	4
41a3fabf-3a9e-40bb-93a1-6a1f5fd30817	7505	발명	8	1071	1067	4
e03a1fe2-0853-47df-8615-39f1c39bdd2f	7606	불특허발명	2	560	556	4
88261d48-df6b-4efe-8ce1-204b482c5789	7657	명세서의 기재방법	11	578	574	4
1927645d-92d1-4f68-b635-7f17c81bb2fa	7707	분리출원	4	331	329	2
