과목,분류,대상_식별자,질문_제목,질문_내용,답변,추가질문,재답변,날짜
특허법,문제,,실용실안 질문드립니다,안녕하세요 임병웅 변리사님 문제를 풀다 질문이 생겨 질문드립니다. 위 문제 2번에서 서열을 포함한 경우에는 서열목록을 첨부하여 명세서를 제출하라고 되어잇는데요.. 궁금한부분은 서열들은 보통 조성물이라는 생각이 들어 실용실안 출원이 안될거라고 생각해서 선지가 틀릴수도 있겠다라고 생각을 하였는데요. 그거의 반례가 궁금합니다.,"<서열>은 물품의 형상, 구조로 보고 있습니다. 열공하세요~", ,,18.02.04
특허법,문제,,실용신안법의 간접침해,"2019년 기출문제 4번 문제에서 ""등록실용신안에 관한 물품의 생산에만 사용하는 물건을 업으로서 사용하는 행위는 실 용신안권 또는 전용실시권을 침해한 것으로 본다."" 라는 지문이 있습니다. 간접침해의 경우 침해의 한 종류이므로 위 지문은 맞다고 볼순 없나요? 단순히 '침해'라고 하면 직접침해만 해당되는 건가요?","문제를 잘못 이해하고 있습니다. 업으로서 ""사용""하는 것은 직접침해이지 간접침해가 아닙니다. 즉, 침해간주가 아닙니다. 열공하세요~", ,,19.10.27
특허법,조문,,우선심사의 대상,변리사님 안녕하세요!^^ 이번 개정되 특허출원 우선심사 신청 사유 중에 실용신안에는 준용되지 않는 사유(기존의 녹색기술관련출원/4차산업혁명/특허심사하이웨이/타법 이외)가 있는지 알고 싶습니다.,안녕하세요? <국제조사를 수행한 국제특허출원>도 실용신안은 제외되어 있습니다. 추록 맨 마지막 페이지 확인해 보면 됩니다. 열공하세요~, ,,19.10.29
특허법,문제,,실용신안제도 2019기출문제,1. 2019 변시기출 실용신안문제에서 보기1: 등록실용실안에 관한 물품의 생산에만 사용하는 물건을 업으로서 사용하는 행위는 실용신안권 또는 전용실시권을 침해한 것으로 본다. 보기3: 실용신안권자는 실용신안권이 그 등록실용신안의 출원일 전에 출원된 타인의 디자인권과 저촉되는 경우 그 디자인권자의 허락을 받지 아니하고는 자기의 등록실용신안을 업으로서 실시할수 없다. -> 1번은 직접침해에 해당되서 침해니까 맞는지문이고 3번은 디자인권자가 허락안해주면 통실허심판 청구할수 있으니 통실허받으면 실시할수있어서 틀린지문아닌가요?? 답은 1번이 틀렸고 3번이 맞다고 되어있는데...이해가 잘 안되네요ㅠㅠ(1번보기는 질문했던 사람이 있어서 변리사님 답변을 봤는데 직접침해도 침해한 것이니 침해한 것으로 본다(침해간주) 는 것은 맞는내용아닌가요??침해간주와 침해행위의 차이를 모르겠네요...),"1. 민법 질문이네요. 간주는 원래 그 행위가 아닌데 특정 목적을 위해 행위로 인정해 주는 것을 말합니다. 3. 어떠한 경우(반드시)에도 실시할 수 없다라고 하면 틀린 지문인데, 일반적으로 실시할 수 없다라고 하면 맞는 지문으로 봐야 합니다. 열공하세요~", ,,19.12.07
특허법,문제,,실용신안 2020년 문제관련,"2020년도 1차 시험 관련 질문있습니다. A형 15번 문제에 실용신안에 관한 설명으로 옳지 않은 것의 개수를 고르는 문제에서, 마지막 지문에 대한 질문입니다. '실용신안권 또는 전용실시권 침해행위를 조성한 물품 또는 그 침해행위로부터 생긴 물품은 몰수하거나 피해자의 청구에 따라 그 물품을 피해자에게 교부할 것을 선고하여야 한다' 라고 기재되어있는데요 실용신안법 51조에서는 다음과 같이 규정하고 있습니다. 51조(몰수 등) ① 제45조제1항에 해당하는 침해행위를 조성한 물품 또는 그 침해행위로부터 생긴 물품은 몰수하거나 피해자의 청구에 따라 그 물품을 피해자에게 교부할 것을 선고할 수 있다. 즉, 문제의 지문은 '하여야한다'고 기재되어있는 반면, 조항에서는 '할수 있다'고 하여 조항과 상이하여 틀린 지문으로 골랐는데요 이에 대해 이의신청 하고자 하는데 변리사님 생각은 어떠신지 듣고 싶습니다.","마지막 지문이 틀린 지문이고, 나머지는 전부 옳은 지문입니다. 따라서, 이의신청할 수 있는 것이 없습니다.", ,,20.06.01
특허법,문제,,변경출원,리담객관식 1017번을 보면 보기 5번 해설에 특허출원을 실용신안등록출원으로 변경출원하는 경우 우선출원일로부터 3년의 기간이 경과된 후라도 변경출원을 한 날부터 3개월 이내에 심사청구를 할 수 있다. (실용신안법 12조 3항) 이라고 되어 있는데 3개월이 아닌 30일 아닌가요? 제가 잘못 알고 있는게 있다면 알려주시면 감사하겠습니다.,30일이 맞습니다. 해설이 오타네요., ,,22.05.14
특허법,조문,,"실용신안법, 디자인보호법 개정안 시행","안녕하세요 강사님. 올해 6월 10일에 디자인보호법·실용신안법 개정안으로 디자인권·실용신안권 침해죄는 기존에 친고죄였는데, 이번에 반의사 불벌죄로 개정된다고 하는데, 이 역시 내년 시험에 반영하면 될까요.",네 맞습니다, ,,22.07.12
특허법,문제,,친고죄 반의사불벌죄 질문입니다,"이번 개정법에서 실용신안법이 친고죄에서 반의사불벌죄가 되었던데, 5번 보기도 틀리게 된 것 맞나요?","네, 맞습니다", ,,22.11.07
특허법,문제,,12조 3항,"안녕하세요 변리사님! 리담 객관식 페이지 1017, 지문 5번에서 질문이 있습니다. 답안에는 3개월이라고 되어있는데, 원랜 30일 아닌가요?? 감사합니다.","네, 30일 입니다. 학원 홈페이지에서 추록을 확인하세요~", ,,22.11.22
특허법,문제,,리담 기출문제 1026면,실용신안법 침해죄도 반의사불벌죄로 개정됨에 따라 보기 5번도 틀린지문 되는게 맞나요??,네. 그렇습니다., ,,23.01.08
특허법,문제,,[2013년 50회 기출문제 9번] 'ㄴ' 선지,"안녕하세요 임 변리사님 사실, 'ㄴ'선지를 누군가가 여기 게시판(특허법 조문연구 제2장에서 얼마 전에 나온 질문입니다)에서 질문한 것 같은데 저도 그 질문을 보고 제가 헷갈렸던 데 이유는 9번의 'ㄴ'선지가 2013년 변리사 시험 기출 당시에는 틀린 선지로 나온 적이 있어서 그래서 헷갈렸습니다.(임변리사님의 답변은 거기에서 보고 왔습니다.) 그렇다면 저 'ㄴ'선지는 지금은 맞다고 보는게 적절한 것인가요? 항상 친절한 답변 감사드립니다 임 변리사님. 그리고 그 전에 질문한 사람은 저는 아니지만 변리사님께 똑같은 질문을 다시 드리는 것 같아 죄송합니다...!!!!","지금 보니, 제가 다르게 해석하고 있는 것 같네요. 예를 들어, 전체 고안이 A, B, C라면, (전자)A, B, C 전체가 선행기술에 비해 개선된 하나 이상의 기술적 특징이 공유되어야 하고, (후자)A, B만 선행기술에 비해 개선된 하나 이상의 기술적 특징이 공유되고, C는 공유되지 않으면 단일성 위반입니다. 그런데, <고안들 중 어느 하나 이상>이 후자라면 틀린 지문이고, 전자라면 옳은 지문입니다. 고안의 구성요소를 나타낸다고 생각하고 계속 답변을 한 것 같네요.", ,,23.01.27
특허법,문제,,[실용신안법] 리담 기출문제지 해설지 답 없음 345P,기출문제집 345P의 4번 답 5번 맞나요?? 해설지에 답이 안써져 있어서요 ㅠ,"네, 5번입니다.", ,,23.10.07
