과목,분류,대상_식별자,질문_제목,질문_내용,답변,추가질문,재답변,날짜
특허법,조문,,"오역(잘못된 번역)의 정정(208조 4항,47조 2항 후단) 질문 드립니다.","이지 특허법(16판)p696 오역(잘못된 번역)의 정정 오역 정정은 발명의 설명,청구범위를 보정한 것이 아니라 국어번역문만을 정정한것이기 때문에 국어번역문에 오역이 있는 경우에는 국어번역문에 대한 오역정정과 별도로 심사대상 발명의 설명,청구범위 등에 대해 보정을 하여야 한다.(법 제47조 2항 후단,208조 4항) 1.위 지문에서 국어번역문에 오역이 있는 경우에는 국어번역문에 대한 오역정정만 해야되는게 아닌가요? 2.오역정정과 별도로 심사대상 발명의 설명,청구범위 등을 보정해야하는 경우는 원문 자체에 잘못된 사항이 있어야하는 경우가 아닌지요? 3.제가 부족하여 이 조문 부분을 책을 참고하여 몇번을 읽어도 무엇을 잘못알고있는지도 잘모르는거 같습니다. 도움을 부탁드립니다. p.s.저의 질문내용이 시험 경향과 상관이없는 부분이라면 지적해주시면 감사하겠습니다.","안녕하세요? 임변입니다. 국어번역문만 오역정정을 하게 되면, 보정서는 정정하지 않은 상태로 그대로 있기 때문에 법 제47조제2항전단과 후단에 위반되게 됩니다. 예를 들어, 출원(ca)-번역문(칼륨)-오역정정(칼슘)인 경우, 심사대상은 보정서(칼륨)이고(번역문 제출시 번역문과 보정서 2개가 형성된다고 이해하면 편합니다), 이는 법 제47조제2항전단의 원문(ca)의 범위를 벗어나게 되고, 법 제47조제2항후단의 오역정정된 번역문(칼슘)의 범위도 벗어나게 됩니다. 따라서, 다시 보정서(칼륨)를 다시 보정서(칼슘)로 보정하여야 합니다.", ,,17.07.02
특허법,조문,202조 3항 2호,pct 202조 3항 2호 질문드립니다,안녕하세요 임병웅 변리사님. pct를 공부하다 질문이 생겨 질문을 드리게 되었습니다. 아래 그림에서 55조 4항 중 선출원인 국제특허출원이 법 201저 4항에 따라 취하된 것으로 보는 경우에도 확대된 선출원의 지위 적용 시 다른 출원의 지위가 인정(55조6항)이라고 되어 있는데요... 55조 6항 조문을 해석하려고 하는데... 잘 이해가 되질 않습니다.. 어떠한 뜻인지 설명부탁 드립니다.,안녕하세요? 임변입니다. 선출원 국제특허출원인 경우 선출원이 번역문을 제출하지 않아 취하간주되더라도 후출원의 확대된 선출원의 지위가 인정된다는 의미입니다. 일종의 확인적 의미의 규정이라고 이해하면 됩니다. 열공하세요~, ,,17.08.17
특허법,조문,208조,제208조(보정의 특례)번역문의 범위를 벗어난 보정의 경우에관해 질문이 있습니다.,"안녕하세요, 복습하다가 궁금한 점이 있어 질문드립니다. 누락부분에 대한 보완사유는 1. 발명의 설명 또는 청구범위의 일부가 누락된 경우, 2. 도면의 전부 또는 일부가 누락되어 있는경우 라고 되어있는데요. 보완을 하지 않았을 때의 효과에 대해서, 2번을 보완하지 않았을 경우 도면에 관한 기재는 없는 것으로 보는데(194조 4항) 1번을 보완하지 않았을 경우는 어떻게 되는 것인가요? 그냥 가만히 놔두어서 국제출원일까지 인정했다가 언젠가 기재불비 등의 거절이유가 발생하면 196조 1항의 3호에 따라 취하하는 것인가요? 그리고 194조의 국제출원의 보완에서, 보완명령을 받았는데도 보완을 하지 않을 시 국제출원일을 인정하지 않는다고 하였는데 이것이 국제출원 취하와 무엇이 다른지 궁금합니다. 저작자 표시컨텐츠변경비영리",안녕하세요? 임변입니다. 정보제공사유에도 포함됩니다. 열공하세요~, ,,17.08.18
특허법,조문,194조,'누락 부분에 대한 보완' '국제 출원의 보완 ' 질문드립니다,"안녕하세요, 복습하다가 궁금한 점이 있어 질문드립니다. 누락부분에 대한 보완사유는 1. 발명의 설명 또는 청구범위의 일부가 누락된 경우, 2. 도면의 전부 또는 일부가 누락되어 있는경우 라고 되어있는데요. 보완을 하지 않았을 때의 효과에 대해서, 2번을 보완하지 않았을 경우 도면에 관한 기재는 없는 것으로 보는데(194조 4항) 1번을 보완하지 않았을 경우는 어떻게 되는 것인가요? 그냥 가만히 놔두어서 국제출원일까지 인정했다가 언젠가 기재불비 등의 거절이유가 발생하면 196조 1항의 3호에 따라 취하하는 것인가요? 그리고 194조의 국제출원의 보완에서, 보완명령을 받았는데도 보완을 하지 않을 시 국제출원일을 인정하지 않는다고 하였는데 이것이 국제출원 취하와 무엇이 다른지 궁금합니다.","안녕하세요? 임변입니다. 1번의 경우 보완하지 않은 경우 기재불비가 발생하여, 각 기정국에서 특허를 받을 수 없게 될 것입니다. 법 제196조제1항제3호에는 해당하지 않습니다. 출원일을 인정했다가 취하되는 것과 출원일을 인정하지 않은 것은 법률적 효과에서 차이가 있습니다. 예를 들어, 전자는 후자와는 달리 정규성이 인정되기 때문에 이를 기초로 조약우선권주장을 할 수 있습니다. 열공하세요~ 답글기능 더보기", ,,17.08.31
특허법,조문,202조,자동지정제도에서 자기지정을 배제할 수 있도록 한 이유가 궁금합니다.,"임병웅 변리사님 안녕하세요. PCT출원에 대해 공부하다가 궁금증이 생겨서 질문드립니다. pct출원에서 출원서 등이 제출된 경우에 자동지정제도를 체택하고 있잖아요. 근데 왜 출원인에게 자기지정을 배제할 수 있도록 한 것인가요? 인사이트 15판 609페이지 각주7에는 ""자기지정제도를 운용하고 있는 국가의 경우, 자동지정에 의하여 자국이 지정될 경우 국내우선권주장 제도에 의하여 선출원이 취하되어 출원인이 피해를 받을 수 있으므로, 이를 방지하기 위하여~"" 라고 설명되어 있습니다. 제 생각에는 국제출원인이 자기지정을 배제하지 않더라도 국내진입을 안하게 되면 선출원도 취하간주되지 않을 것이라고 생각합니다. 예를 들어, 1.한국이 선출원(X)인 경우, 2.X기초 우선권 주장하면서 pct출원(지정국:한국 중국 일본 등..)할 때 3.국제 출원인이 한국에 국내진입을 하지 않으면, 4.선출원 X는 취하간주되지 않을 것이다. 이게 제 질문입니다. 매번 감사합니다!","녕하세요? 임변입니다. 선출원이 국내출원인 경우, 1년 3월 경과후에 취하간주되고, 후출원이 국내단계로 진입하지 않는다면, 결국 한국에서는 특허를 받을 수 없게 됩니다. 제목을 수정해 주세요. 관련조문은 202조이네요. 열공하세요~", ,,17.09.07
특허법,조문,202조,선출원의 취하간주 시기와 후출원의 우주취하 가능시기,"안녕하세요. 국내 우선권 주장 출원에서 후출원의 우주 취하 금지 규정이 자해 방지 규정이라고 배웠었는데요, 그래서 PCT에서 선출원 취하간주 시기와 후출원의 취하가능시기가 서로 맞물려 있을줄 알았는데 후출원의 우주 취하 금지 규정은 후출원이 PCT냐 국내출원이냐에 따라서 판단하더라구요. 그래서 왜 우주 취하 금지 규정이 선출원 기준으로 판단하지 않고 후출원 기준으로 판단하게 만들어졌는지 알고싶습니다. 감사합니다. 저작자 표시컨텐츠변경비영리","안녕하세요? 임변입니다. 특허협력조약을 반영한 결과입니다. 그리고, 후출원 기준으로 판단하더라도 문제되지 않는데, 국내법은 현재 이를 불일치시키고 있어서 입법불비라고 생각하면 됩니다. 열공하세요~", ,,17.09.07
특허법,조문,106의 7,국제출원인의 의사에 의한 취하 관련 질문,"안녕하세요 국제출인의 의사에 의한 취하에서 국제출원인은 특허청장에 대하여 우선일로부터 2년6개월을 지나기 전과 출원인이 출원심사청구를 하기 전 중 빠른 때 까지 국제출원, 지정국의 지정, 또는 우선권 주장을 취하할 수 있다.(시규 106의 7)이라고 되어 있는데요 여기서 2이상의 국내 출원을 복합우주 했을때에 우선일로부터 2년 6개월의 우선일은 최선출원일을 말하는 것인가요 아니면 각 선출원 별로 따로 보는 것인가요? 국내우주(56조)에서는 복합우주 했을 때 취하 간주 시기는 각각의 선출원의 출원일부터 1년3개월이 지난 때에 취하되는 것으로 본다. 라고 배웠는데요. 그렇다면 국제출원 자체의 취하와 지정국의 지정은 최선출원일로 부터 기산하고 우선권 주장의 취하는 각 선출원일 별로 따로 기산하는 형태 인가요? 아니면 일괄적으로 최선출원일 부터 기산하게 되는 건가요? 감사합니다.","안녕하세요? 임변입니다. 우선일은 다음과 같이 정의하고 있습니다. ""「우선일」이란 ⅰ) 국제출원이 우선권 주장을 수반하는 경우에는 동 우선권이 주장되는 출원의 선출원일, ⅱ) 국제출원이 두 개 이상의 우선권의 주장을 수반하는 경우에는 우선권을 가장 먼저 주장한 출원의 출원일, ⅲ) 국제출원이 우선권의 주장을 수반하지 아니하는 경우에는 동 국제출원의 출원일을 의미한다(PCT 2(ⅺ))."" 따라서, 복합우선권주장을 하는 경우는 ⅱ)에 해당합니다. 열공하세요~ 답글기능 더보기", ,,17.09.09
특허법,조문,207조,(출원공개시기 및 효과의 특례)에서 국내공개 시기에 관해 질문이있습니다.,"국내서면제출기간에 출원인이 출원심사의 청구를 한 국제특허출원으로서 '특허렵력조약' 제21조에 따라 국제공개된 경우에는 우선일부터 1년 6개월이 되는 날과 출원심사의 청구일 중 늦은 날이 지난 후 국내공개가 이루어진다. ---->상기 지문의 해석에 있어서 지난 후에 공개가 되니 출원심사의 청구일(기준일) 다음날에 국내공개 된다고 생각을 했는데, 객관식 문제지에 기준일 당일에 출원 공개가 된다고 되어있어서 헤깔려서 질문을 드리게 됬습니다. (지문을 인용하겠습니다.) 2016년 1월 3일 외국어 국제특허출원(X)을 기초로 2017년 1월 2일에 우선권주장을 수반한 국제특허출원(Y)을 하였는데 출원인이 2018년 1월 4일 심사청구하는 경우 국내공개는 2018년 1월 4일에 이루어진다 ---->2017년 7월3일(우선일로부터 1년 6개월) 이 지나서 심사청구를 했으니 2018년 1월 4일(심사청구일)이 지난 2018년 1월 5일에 국내공개가 이루어진다고 생각했는데 제가 어떤 부분을 놓치고 있는걸까요? .",안녕하세요? 당연히 지난 후에 공개되는 것이 정확한 표현입니다. 그리고 지난 후에 바로 다음날 공개되는 것이 아니라 공개준비기간을 거쳐서 공개됩니다. 행복한 추석되세요~, ,,17.09.29
특허법,조문,198조의 2,국제조사후 국제공개에 관한질문입니다,국제공개의 대상은 교과서에(EZ특허법 16판 651p) '원칙적으로 모든 국제출원이 국제공개된다. 다만 국제출원이 어느 국가도 자국에 관한 한 국제출원을 공개할 필요가 없다고 선언한 국가만을 지정하고 있는 경우 국제공개를 하지 않을 수 있다.' 라고 되어있는데 국제출원을 할 때 모든 PCT 체약국이 자동적으로 지정된 것으로 보는 자동지정제도가 있기 때문에 자기지정의 경우를 제외하고는 지정국 일부가 취하간주되는 경우는 없는것으로 알고 있어 '국제출원을 공개할 필요가 없다고 선언한 국가만을 지정하고 있는 경우'가 가능한지 의문이 듭니다. 위 규정도 196조2항과 같이 무의미한 규정에 불과한 것인지 아니면 제가 놓친 부분이 있는것인지 궁금합니다,각주 20번을 체크해 놓았네요. 각주 20번에 있는 내용 그대로 입니다., ,,17.10.07
특허법,조문,201조 5항,번역문 취급 질문드립니다.,"안녕하세요. 질문 하나 부탁드립니다~ 201조 5항에는 국제특허출원의 국어번역문을 국내서면제출기간 내 제출한 경우에는 국제출원일까지 제출한 발명의 설명, 청구범위 및 도면을 최종 국어번역문에 따라 국제출원일에 47조 1항에 따른 보정을 한 것으로 본다. 204조 2항은 PCT19조 보정 후 그 보정서의 국어번역문 / 사본을 제출하면 47조 1항에 따른 청구범위가 보정된 것으로 본다. 라고 되어있는데요. 신규사항추가금지를 적용할 때 어떻게 취급되는지가 헷갈립니다... 신규사항 추가금지 판단할 때 <국제출원(1) - 번역문(2) - 보정(3)>으로 보면 1번. 204조 2항은 국내단계의 보정으로서 (3)입장에서 적법한지 판단하는거고 201조 5항은 47조 1항에 따른 보정으로 취급되지만 국내단계취급이 아니라서 (3)이 될 수는 없고 (2)입장에서 번역문으로서 판단기준이 될 뿐인가요?? 201조 5항 , 204조 2항이 둘 다 '47조 1항에 따른 보정을 한 것으로 본다'라고 한 거는 보정의 특례에서 기준일 전에는 47조1항보정이 적용될 수 없다는 뜻에서 나온 거 같은데 2번. 그렇다면 201조5항 - 47조 1항에 따른 보정을 한 것으로 본다. 204조2항 - 47조 1항에 따른 청구범위가 보정된 것으로 본다. 이 두 의미의 차이는 있을까요?? 어차피 신규사항추가금지를 생각해보려면 명도에서 보정되어야 하는 건 아닌가요? 감사합니다.",안녕하세요? 1. 네. 맞습니다. 2. (3)번 보정은 (1)과 (2)도 같이 만족해야 한다는 점에서 차이가 있습니다. 열공하세요~, ,,17.10.15
