과목,분류,대상_식별자,질문_제목,질문_내용,답변,추가질문,재답변,날짜
특허법,조문,215조의 2,(2 이상의 청구항이 있는 특허출원의 등록에 관한 특칙) 에 관해 질문이있습니다.,"*특허권자는 특허권 자체를 포기할 수도 있고. 청구범위에 둘 이상의 청구항이 기재되어 있는 경우에는 각 청구항별로 포기할 수 있다.(법 215,책 1008p) 제215조의2 (2 이상의 청구항이 있는 특허출원의 등록에 관한 특칙) ①2 이상의 청구항이 있는 특허출원에 대한 특허결정을 받은 자가 특허료를 납부하는 때에는 청구항별로 이를 포기할 수 있다. ②제1항의 규정에 의한 청구항의 포기에 관하여 필요한 사항은 지식경제부령으로 정한다. [개정 2008.2.29 제8852호(정부조직법)] [본조신설 2001.2.3] --> 1.특허료를 납부하는 때에 청구항별로 포기할수 있다고 되어있는데, 이뜻은 설정등록료를 낼때에는 포기하지않고나중에 연차료를 낼때도 청구항별로 포기가 가능하다는 말이 맞는지요? 2.혹시 특허료를 납부 할 때를 제외하고는 청구항을 따로 포기 할 수는 없는걸로 알고있는데 이게 맞나요?(정정,보정을 하는 경우 제외)","특허출원의 포기는 법 제225조의2에 의해 등록료를 낼 때만 청구항별로 포기할 수 있고, 특허권의 포기는 법 제225조에서 제119조을 기술하고 있기 때문에 청구항별로 포기할 수 있는 것입니다. 기본서에 출원의 취하, 포기 파트를 정독해 보세요~",,,17.07.10
특허법,조문,224조의 3,비밀유지명령 관련하여 질문드립니다,"특허법은 224조의 3과 4에서 비밀유지명령은 송달시 효력이 발생하며 비밀유지명령의 취소는 판결 확정 시 효력이 발생하나, 224조의 5 제 2항에서 비밀유지명령의 신청의 재판이 확정되는 시점까지 열람을 하게해서는 안된다고 규정하고 있습니다. 그렇다면 이때 224조의 3에서의 송달시점과 224조의 5 제2항에서의 재판이 확정되는 시점의 차이가 있다면 무엇인가요? 또한 차이가 있다면 왜 224조 5에서 비밀유지명령의 효력발생시점이 아닌 재판 확정시점으로 규정하고 있는지도 궁금합니다...!","안녕하세요? 임변입니다. 재판이 확정되는 시점은, 1) 인용결정의 결정서가 송달된 떄, 2) 기각이나 각하결정의 경우 즉시항고할 수 있기 때문에, 대법원까지의 결정이 확정된 때를 의미합니다. 참고로, 1)의 경우 효력을 없애고자 한다면 법 제224조의4에 따라 비밀유지명령취소신청을 하게 됩니다. 열공하세요~",,,17.07.27
특허법,문제,216조,특허청장 특허심판원장의 서류의 열람 복사의 불허가,"객관식 106페이지 ①②지문입니다. ①번 : 설정등록 또는 출원공개되지 않은 특허출원에 관한 서류와 그 특허출원의 거절결정에 대한 불복심판에 관한 서류는 복사 또는 열람이 허용되지 않는다. (O) ②번 : 공공의 질서와 선량한 풍속에 어긋나거나 공중의 위생을 해칠 우려가 있는 특허에 관한 서류의 열람은 허용되지 않는다.(O) 제216조(서류의 열람 등) ① 특허출원, 특허취소신청, 심판 등에 관한 증명, 서류의 등본 또는 초본의 발급, 특허원부 및 서류의 열람 또는 복사가 필요한 자는 특허청장 또는 특허심판원장에게 서류의 열람 등의 허가를 신청할 수 있다. ② 특허청장 또는 특허심판원장은 제1항의 신청이 있더라도 다음 각 호의 어느 하나에 해당하는 서류를 비밀로 유지할 필요가 있다고 인정하는 경우에는 그 서류의 열람 또는 복사를 허가하지 아니할 수 있다. 1. 출원공개 또는 설정등록되지 아니한 특허출원(제55조제1항에 따른 우선권 주장을 수반하는 특허출원이 출원공개 또는 설정등록된 경우에는 그 선출원은 제외한다)에 관한 서류 2. 출원공개 또는 설정등록되지 아니한 특허출원의 제132조의17에 따른 특허거절결정에 대한 심판에 관한 서류 3. 공공의 질서 또는 선량한 풍속에 어긋나거나 공중의 위생을 해칠 우려가 있는 서류 특허청장·특허심판원장의 복사·열람의 불허가는 재량인가요 기속인가요?","법 제216조를 잘못 이해하고 있네요. 출원공개 또는 설정등록되지 않은 발명은 비밀유지의무가 있는 것이고, 법 제216조는 출원공개 또는 설정등록되더라도 비밀유지의무가 있다면 열람을 허가하지 아니할 수 있다는 것입니다.",,,17.10.04
특허법,조문,224조의 2,불복의 제한,"제224조의2(불복의 제한) ① 보정각하결정, 특허여부결정, 특허취소결정, 심결이나 특허취소신청서·심판청구서·재심청구서의 각하결정에 대해서는 다른 법률에 따른 불복을 할 수 없으며, 이 법에 따라 불복할 수 없도록 규정되어 있는 처분에 대해서는 다른 법률에 따라 불복을 할 수 없다. <개정 2016.2.29.> ② 제1항에 따른 처분 외의 처분의 불복에 대해서는 「행정심판법」 또는 「행정소송법」에 따른다. 즉...조문을 분설하여 정리해보면 ① 전문: 이 법에 따라 불복절차가 마련된 처분은 다른법률에 따라 불복할 수 없다. 후문: 특허법에서도 불복 못하도록 제한을 둔 처분은, 다른법률로도 불복할 수 없다. ② 특허법에 불복절차도 없고 and 특허법상 불복제한 두지않은 처분에 대해서는 행정심판 또는 행정소송으로 불복할 수 있다. 그런데, 아래는 기본서내용인데, 각주 위치가 잘못된게 아닌지요? [질문1] 【기본서 추록48p】-------------------------------------------------------------------------------- 특허거절결정에 대하여 불복하려는 경우에는 법 제 132조의17에 따라 특허심판원에 심판을 청구할 수 있도록 규정되어 있고, 특허취소결정,심결,심판청구서나 재심청구서의 각하결정에 대하여 불복하려는 경우에는 제186조에 따라 특허법원에 소를 제기하도록 규정되어 있는바, 다른 법률에 따른 불복을 할 수 없으며, 이 법에 따라 불복절차가 마련된 처분(???)에 대해서는 행정심판법뿐만 아니라 다른 법률에 따라 불복을 할 수 없다(法 224의2①) (각주 23, 제78조의 심사 또는 소송절차의 중지결정 / 152조④의 심판관 제척,기피 결정 / 156조②의 심판참가 결정 등이 있다.) 그 이유는 행정심판절차보다는 신속,공정,독립된 절차의 요청에 한층 적합한 구제수단으로 특허심판절차를 인정하는 것이 타당하며 이 법에 따라 각 처분에 대한 불복을 인정하지 아니한 것에 대해서는 다른 법률에 따라서도 불복을 인정하지 아니하는 것이 소송경제에 비추어 합리적이기 때문이다. 2) 그러나 불복절차가 마련된 처분 외의 처분의 불복에 대해서는 「행정심판법」 또는 「행정소송법」에 따른다. 예를 들어， 절차가 무효되거나 불수리된 경우에는 행정심판이나 행정소송을 제기할 수 있다. ---------------------------------------------------------------------------------------- 조문상에 ""이 법에 따라 불복할 수 없도록 규정되어 있는 처분""이 뭐인가 궁금해서 ""불복할 수 없다""로 조문검색해본결과 각주 내용과 추가적으로 몇가지 더 있는 바, 아래와 같은데, 이렇게 찾아봐도 되는건가요?? [질문2] 1. 보정각하결정 51③ 2. 심사 or 소송 절차중지 78③ 3. 특허취소신청 각하결정 132의6② 4. 특허취소신청 기각결정 132의13⑤ 5. 제척, 기피신청에 따른 결정 152④ 6. 참가여부 결정 156⑤",1. 네. 뒤에 붙어야 하네요. 2. 네. 맞습니다. 열공하세요~,,,17.10.16
특허법,조문,224조,(허위표시 금지)에 관해 질문이 있습니다.,"안녕하세요 임병웅 변리사님! 허위표시금지 부분을 읽다가 기술적 구성의 차이가 동일성이 있는 정도의 것을 말하는건지 용이성이 있는 정도의 것을 말하는건지 헤깔려서 질문을 드리게됬습니다. 답변 항상 감사합니다! 다만, 특허된 것 등으로 표시한 물건의 기술적 구성이 청구범위에 기재된 발명의 구성을 일부 변경한 것이라고 하더라고, 그러한 변경이 통상의 기술자가 보통 채용하는 정도로 기술적 구성을 부가/삭제/변경한 것에 지나지 아니하고 그로 인하여 발명의 효과에 특별한 차이가 생기지도 아니하는 등 공중을 오인시킬 정도에 이르지 아니한 경우에는 물건에 특허된 것 등으로 표시를 하는 행위가 허위표시행위 해당한다고 볼 수 없다. --------> 1.""통상의 기술자가 보통 채용하는 정도로 기술적 구성을 부가/삭제/변경한 것"" 이 부분이 진보성(용이성) 판단에서 말하는 통상의 기술자가 선택할 수 있는 정도(구성의 곤란성이 없음)를 뜻한다고 생각할 수 있을까요? 2.""발명의 효과에 특별한 차이가 생기지도 아니하는 등"" 이 부분은 현저한 효과가 없는 정도라고 생각 할 수 있을까요? 3.상기지문에서 의도한게 특허권자가 기술적 구성의 차이가 있는 발명(?)에 특허표시를 하였더라도, 용이성이 있는 정도라면 허위표시에 해당하지 않는다고 생각할 수 있을까요?","123. 네 부언하면, 판례는 1) 진보성이 없는 범위, 2) 등, 3) 공중을 오인시킬 정도에 이르지 않은 경우라고 합니다. 즉 3)은 일반론이고, 1)은 하나의 예시이고, 2)는 그밖에 다른 사유가 있을 수도 있다는 것이 판례의 요지입니다. 열공하세요~",,,17.11.03
특허법,조문,222조,"서류의 제출 규정에서 ""외의 절차""","제222조(서류의 제출)특허청장 또는 심사관은 당사자에게 특허취소신청, 심판 또는 재심에 관한 절차 외의 절차를 처리하기 위하여 필요한 서류나 그 밖의 물건의 제출을 명할 수 있다. 반대해석을 하면 특허청장 또는 심사관은 당사자에게 특허취소신청, 심판 또는 재심에 관한 절차를 처리하기 위하여 필요한 서류나 그 밖의 물건의 제출을 명할 수 없다.(??) 기본서를 찾아보니 ""외의 절차""라는 것으로싸 심사절차를 예시로 들고 있는데요. 심사절차에서 발명내용의 이해가 곤란한 경우 거절이유에 해당하지만, 곧바로 거절이유통지보다는 심사의 효율성 측면에서 서류제출명령하여 발명의 이해를 도울 목적의 규정....이라고 써있거든요 그러면 그냥 심사절차를 처리하기 위해 서류제출을 명할 수 있다...라고 규정하지 않고 빙빙 둘러서 규정한 이유가 뭔지 궁금해서 질문아닌 질문을 하게 되네요. 참고가 될지몰라도 별다른 이해를 필요로 하지 않는 상표법 §56조(서류의 제출)에도 이와 동일한 규정이 있어서요.. 그래서 좀 의문이 갑니다.",심사절차 이외의 다른 절차가 포함될 여지를 남겨둔 것으로 보입니다. 열공하세요~,,,17.12.18
특허법,조문,215조,둘 이상의 청구항이 있는 특허 또는 특허권에 관한 특칙에서 정정심판,"제215조(둘 이상의 청구항이 있는 특허 또는 특허권에 관한 특칙) 둘 이상의 청구항이 있는 특허 또는 특허권에 관하여 제65조제6항, 제84조제1항제2호·제6호, 제85조제1항제1호(소멸의 경우만 해당한다), 제101조제1항제1호, 제104조제1항제1호·제3호·제5호, 제119조제1항, 제132조의13제3항, 제133조제2항·제3항, 제136조제7항, 제139조제1항, 제181조, 제182조 또는 「실용신안법」 제26조제1항제2호·제4호·제5호를 적용할 때에는 청구항마다 특허가 되거나 특허권이 있는 것으로 본다. <개정 2016.2.29., 2016.3.29.> [전문개정 2014.6.11.] 136조 ⑦ 제1항에 따른 정정심판은 특허권이 소멸된 후에도 청구할 수 있다. 다만, 특허취소결정이 확정되거나 특허를 무효(제133조제1항제4호에 의한 무효는 제외한다)로 한다는 심결이 확정된 후에는 그러하지 아니하다. 이 조문에서 제 136조 7항은 어떻게 적용하는 것인가요? 정정심판을 청구항별로 신청할 수 있다는 뜻인가요? 정정심판은 명세서 또는 도면 전체에 대해서 인정되지 청구항마다 청구할 수는 없다고 알고 있는데 어떻게 이해해야 맞는 것인지 알려주세요~ 감사합니다",소멸되지 않은 청구항에 대해 정정심판을 청구할 수 있다는 것입니다. 열공하세요~,,,18.01.08
특허법,조문,224조의 5,조문 관련 질문있습니다.,"제224조의5 제2항 제1항의 경우에 법원사무관등은 제1항의 청구가 있었던 날부터 2주일이 지날 때까지(그 청구 절차를 밟은 자에 대한 비밀유지명령 신청이 그 기간 내에 이루어진 경우에는 그 신청에 대한 재판이 확정되는 시점까지) 그 청구 절차를 밟은 자에게 제1항의 비밀 기재부분의 열람 등을 하게 하여서는 아니 된다. 위에 밑줄 친 부분의 재판이 확정되는 시점이라는 것은 재판의 기각/각하/인용의 경우 모두를 포함하는 것으로 알고 있습니다. 즉, 재판이 기각, 각하, 인용의 어느 경우에든 확정된 이후에는 비밀 기재부분의 열람 등을 할 수 있다라고 이해했는데요, 제가 궁금한 점은 비밀유지명령신청에 대한 재판이 기각, 각하되었다면 그 사람에게는 비밀유지의무가 없으므로 비밀 기재부분의 열람 등을 하게 해서는 안되는 것 아닌가요? 제가 어느 부분을 잘못 이해하고 있는건지 모르겠습니다ㅠㅠ","인용의 경우 열람을 하게 한다는 의미로, 기각/각하의 경우 열람을 하게 하지 않는다는 의미로, 이해하면 됩니다. 열공하세요~",,,18.10.11
특허법,조문,200조,공지 등이 되지 아니한 발명으로 보는 경우의 특례,"특허출원 전 국내에서 제품출시가 있었고, 공지예외적용주장을 적용받아 국내출원에 거절이유가 없을 때 국내특허출원을 기초로 한국 특허청을 수리관청으로 하여 PCT출원을 한 경우 의문사항입니다. 공지예외적용주장까지 수반해야 한다면 200조의 공지예외적용의 특례를 통해 기준일 후 30일 이내에 취지와 증명서류를 제출하면 될 것 같습니다. 지정국에서 출원시 별도의 절차를 요구해서는 안되기 때문에 국내단계로 진입한 후 절차적인 측면을 요구하도록 규정되어있다는 설명도 이해할 수 있습니다. 질문1. 이지특허법 16판 p.703에 각주34) <한편 국제출원의 경우 출원인은 국제출원일 당시에 국제출원서에서 신규성상실의 예외에 관한 선언을 할 수 있고, ...> 이문장에서 공지예외주장을 국제출원일 당시에도 할 수 있는 것인지 궁금합니다. 질문2. pct출원을 하여 일본을 지정국으로 하여 일본국내단계에 진입할 때 일본의 경우 공지예외적용주장 기간이 6개월인걸로 강의 노트에 나오는데 -국제출원일이 제품출시로부터 6개월이내이면, 공지예외적용주장을 국제출원일 당시에 하면서 일본진입이 가능한지 -아니면 국제출원일 당시에는 공지예외적용주장을 못한다면, 출원과 함께만 공지예외적용주장을 하도록 규정되어 있는 일본과 같은 나라에는 아예 진입할 수 없게 되는 건지 궁금합니다.",1. 지정국에서 요구하는 것은 기준일 경과후이지만 출원인이 선언하는 것은 그 전에도 가능하다는 것입니다. 2. 일본도 PCT 출원을 하는 경우 출원과 동시에 주장하지 않아도 됩니다.,,,18.11.24
특허법,조문,224조의 3,비밀유지명령 예외(1항 단서)에서 132조 3항에 따른 자료의 열람이 없는 이유,"변리사님 안녕하세요. 제224조의3(비밀유지명령) ① 법원은 특허권 또는 전용실시권의 침해에 관한 소송에서 그 당사자가 보유한 영업비밀에 대하여 다음 각 호의 사유를 모두 소명한 경우에는 그 당사자의 신청에 따라 결정으로 다른 당사자(법인인 경우에는 그 대표자), 당사자를 위하여 소송을 대리하는 자, 그 밖에 그 소송으로 인하여 영업비밀을 알게 된 자에게 그 영업비밀을 그 소송의 계속적인 수행 외의 목적으로 사용하거나 그 영업비밀에 관계된 이 항에 따른 명령을 받은 자 외의 자에게 공개하지 아니할 것을 명할 수 있다. 다만, 그 신청 시점까지 다른 당사자(법인인 경우에는 그 대표자), 당사자를 위하여 소송을 대리하는 자, 그 밖에 그 소송으로 인하여 영업비밀을 알게 된 자가 [제1호에 규정된 준비서면의 열람이나 증거조사] 외의 방법으로 그 영업비밀을 이미 취득하고 있는 경우에는 그러하지 아니하다. 1. 이미 제출하였거나 제출하여야 할 준비서면, 이미 조사하였거나 조사하여야 할 증거 또는 제132조제3항에 따라 제출하였거나 제출하여야 할 자료에 영업비밀이 포함되어 있다는 것 2. 제1호의 영업비밀이 해당 소송 수행 외의 목적으로 사용되거나 공개되면 당사자의 영업에 지장을 줄 우려가 있어 이를 방지하기 위하여 영업비밀의 사용 또는 공개를 제한할 필요가 있다는 것 질문 1) 1항 단서 중 제가 임의로 괄호 친 부분에서, 132조 3항에 따른 자료의 열람이 제외된 이유는,132조 3항 단서에 따라 (신청시점 전에 취득했는지 여부와 관계 없이) 법원에서 열람할 수 있는 범위나 사람을 지정하기 때문인가요? 질문 2) 같은 취지에서, 제224조의3 제1항 제1호에서 126조의2에 따른 자료(구체적 행위태양을 제시할 수 없는 정당한 이유 판단을 위한 자료)의 열람이 제외된 이유는 126조의2 3항에 따라 준용되는 132조 3항에 따라 법원에서 열람할 수 있는 범위나 사람을 지정하기 때문인가요? 그렇다면 224조의3 1항 1호에서 132조 3항에 따른 자료만 명시하는 이유는 무엇일까요.. 질문3) 132조 3항 후단에 따라 열람할 수 있는 범위 또는 사람을 지정하는 것과 비밀유지명령은 구분되는 처분인가요? 감사합니다.","안녕하세요? 1. 아닙니다. 영업비밀을 이미 알고 있는 경우에는 비밀유지명령을 할 수 없다는 것입니다. 2. 입법불비로 보입니다. 즉, 제224조의3 제1항 제1호에 제126조의2도 추가되는 것이 맞습니다. 3. 네","박재현작성자 19.08.22 19:20 감사합니다. 질문1에 관하여 하나만 더 여쭈어 보아도 될까요? 132조 3항에 따라 제출된 자료의 열람을 통해 영업비밀을 취득한 경우, 그 취득이 비밀유지명령의 신청 시점 전이라면 비밀유지명령을 할 수 없다는 뜻인가요? ""제224조의3 제1항 단서; 제224조의3 제1항 제1호에 규정된 준비서면의 열람이나 증거조사 외의 방법으로 그 영업비밀을 이미 취득하고 있는 경우""를 그대로 이해하면, 132조 3항에 따라 제출된 자료는 언급하고 있지 않으므로 당사자가 그 자료를 통해 영업비밀을 취득하고 있는 경우에는 비밀유지명령을 못하는 것 같은데, 이것이 자료 소지자에게는 불이익한 듯 하여서 그에 대한 대안으로 132조 3항 후단의 열람할수 있는 범위나 사람의 지정을 통해 보호하는 것인가 하는 의문이 들었습니다. 언제나 답변 감사합니다.",문의하신 내용은 제224조의3제1항제1호에 규정된 방법이기 때문에 제224조의3제1항단서에 해당하지 않습니다. 즉 비밀유지명령을 할 수 있는 것입니다.,19.08.16
