과목,분류,대상_식별자,질문_제목,질문_내용,답변,추가질문,재답변,날짜
특허법,조문,22조,[22]조 심결과 결정 질문있습니다.,"22조의 3항 보면 결정으로 한다고 했는데 4항보면 심결 내용이 나오는데 결정, 심결, 명령 이렇게 3가지 있는데 3항에서는 결정한다고 하고 왜 4항에서는 심결이 나오죠? 결정하고 심결하고는 엄연히 다른거 아닌가요?ㅠㅠ","안녕하세요? 임변입니다. 질문이 있는지 이제서야 확인이 되었네요. 답변을 드리면, 심결은 심판에서의 합의체에 의한 최종적인 결론을 말하는 것이고, 제3항에서의 결정은 부수적 심판에 대한 결론을 결정이라고 합니다. 심판을 공부하다보면 자연스럽게 알게 됩니다. 열공하세요~", ,,17.05.16
특허법,조문,23조4항,"23조 4항], [22조 7항] 당사자 질문 있습니다.","1.심판에서는 당사자가 원고, 피고 둘다 있잖아요? 그럼 23조 4항에서 당사자는 원고 피고 둘다 말하는건가요? 아니면 내용상 6항에 의해서 강제로 수계신청한걸로 보는 사람만을 말하나요? 2.1.23조에서도 4항의 당사자는 누군가요?","안녕하세요? 임변입니다. 제23조제4항에서 당사자는 심판의 청구인, 피청구인을 모두 지칭합니다. 심판은 원고, 피고가 아닌 청구인, 피청구인이라고 합니다. 열공하세요~", ,,17.05.16
특허법,조문,2조,제2조 용도발명,"특허권의 효력 적극적, 소극적 효력에서 용도발명은 물건발명을 그대로 이용한 것이므로 선출원된 물건발명이 특허를 받은 경우 이용관계에 있다. 이 경우에 용도발명의 특허권자는 물건발명의 특허권자의 허락을 받거나(98조), 통상실시권허락심판(138)에 의하지 아니하고는 용도발명을 실시 할수 없다. 강의 시간에 용도발명의 대표적인 예가 의약발명이라고 말씀을 해주셨는데, 의약발명을 위 기준으로 생각하면 해당하지 않는다고 생각이 듭니다. 혹시 다른 예는 뭐가 있나요??","안녕하세요? 임변입니다. 의약발명도 해당합니다. 예를 들어, 물질 X가 선특허발명이고, 물질 X를 관절용 치료에 이용하는 발명이 후특허발명일 때 이용발명에 해당합니다. 열공하세요~", ,,17.05.21
특허법,조문,8조,8조 3호 질문드립니다.,"안녕하세요 임병웅 변리사님. 8조 3호에 대해 질문을 드릴 것이 있습니다. 3호의 경우, 내용이 본인인 수탁자의 신탁임무 종료 .. 시에도 위임을 받은 대리인의 대리권은 소멸하지 않는 것으로 알고 있습니다. 본인인 수탁자의 신탁업무의 의미가 잘 이해가 가지 않는데요... A가 본인, B가 임의대리인(특허에 관한 절차를 대신 밟아주고 있는) 이라고 할 때, A가 다른 사람 C로부터 수탁받아 신탁임무를 대신 수행하고 있었는데, 이 신탁업무가 종료되었다고 해도 B의 대리권은 변하지 않는다는 뜻인지요 ? 답변 부탁드립니다.","안녕하세요? 임변입니다. 말씀하신 CASE가 맞습니다. 강의노트에 있으면, 그림이 그려져 있으니 참고해 보세요~. 열공하세요~ 답글기능 더보기", ,,17.06.13
특허법,조문,11조,11조-절차의 불수리 질문드립니다,"1번 질문 불수리 사유에 보면, '재외자가 특허관리인에 의하지 아니하고 제출한 특허출원, 특허권의 존속기간의 연장등록 또는 심판에 관한 서류,견본 그 밖의 물건인 경우' 가 있습니다. 25조 - '외국인으로서 특허에 관한 권리를 누릴 수 없는 자가 특허출원한 경우' 가 주체적 요건 위반으로 거절이유에 해당합니다. 25조의 케이스 중 하나로 재외자가 특허관리인에 의하지 아니하고 특허출원한 경우가 해당되는게 아닌가요? 25조의 요건은 주체적 요건으로 실체 심사에서 판단기준으로 역할을 하는 것이고 전자는 불수리는 방식심사에서 방식에 중대한 하자 있는 경우 하는 것으로 알고있는데 위 양자의 차이는 무엇인가요? 2번질문 불수리 사유에 '해당 특허에 관한 절차를 밟을 권리가 없는 자가 그 절차와 관련하여 제출한 서류인 경우'가 있습니다. 33조(특허를 받을 수 있는자) 위반의 경우 주체적요건 위반으로 거절이유에 해당합니다. 33조 또한 위 불수리 사유의 하나의 케이스로 보입니다. 질문의 요지는 1번과 같습니다. 3번질문 기본서 162쪽 8번에 '법정기간이 지나서 제출된 서류는 불수리 된다'라 나와있는데 ,의견서나 보정서 제출기간을 경과한 경우는 절차무효사유 아닌가요? 의견서나 보정서 제출기간은 지정기간에 해당하여 무효사유가 되는것인지, 아님 혹 기간 경과후 서류가 제출된 경우 서류를 불수리하고 절차를 무효시키는건지 이해가 되지 않습니다. 4번질문 보정명령을 받은 출원인이 보정기간 내 보정서를 제출하였는데 실체심사에서 심사하고 거절이유통지 또는 거절결정 후 등본 송달 하는 경우 제출한 보정서는 함께 돌려보내는건가요? 혹시 함께 돌려보낸다면 이또한 불수리라 하나요? 고민 끝에 질문을 남깁니다 읽어주셔서 감사합니다","안녕하세요? 임변입니다. 1. 판단기준 자체가 상이합니다. 재외자라고 하더라도 상호주의, 조약에 의한 경우에는 권리능력이 있지만, 행위능력은 없습니다. 권리능력이 있더라도 재외자가 특허관리인에 의하지 않고 출원하면 불수리되는 것이고, 권리능력이 없는데 재외자가 특허관리인에 의해 출원한 경우에는 수리되나 거절이유에 해당합니다. 2. 분할출원, 변경출원의 경우 주체적 요건을 만족하지 않은 경우 불수리된다는 것으로서, 적용대상이 상이합니다. 3. 법정기간은 대부분 불수리, 지정기간은 방식위반이지만, 케이스별로 판단해야 합니다. 4. 법 제47조제1항의 기간이 주어진 후 심사름 하기 때문에 그 케이스는 발생하지 않습니다.", ,,17.06.25
특허법,조문,2조,제2조(정의) 제조장치의 실시에 관해 질문이 있습니다.,"제2조 (정의) 이 법에서 사용하는 용어의 뜻은 다음과 같다. 1. 생략. 2. 생략 3. ""실시""란 다음 각 목의 구분에 따른 행위를 말한다. 가. 물건의 발명인 경우: 그 물건을 생산·사용·양도·대여 또는 수입하거나 그 물건의 양도 또는 대여의 청약(양도 또는 대여를 위한 전시를 포함한다. 이하 같다)을 하는 행위 나. 방법의 발명인 경우: 그 방법을 사용하는 행위 다. 물건을 생산하는 방법의 발명인 경우: 나목의 행위 외에 그 방법에 의하여 생산한 물건을 사용·양도·대여 또는 수입하거나 그 물건의 양도 또는 대여의 청약을 하는 행위 --->물건을 생산하는 제조장치의 효력에 대해 헤깔리는 부분이 있어서 질문을 드립니다. 1.물건을 생산하는 제조장치가 있는데 이 제조장치는 A라는 방법으로 물건을 생산하는 경우, 청구범위에 제조장치만을 기재하고 A라는 방법을 따로 기재하지 않고 특허를 받은경우,권원 없는 제 3자가 제조 장치를 사용하지않고 A라는 방법만 사용하는 경우에는 당연히 위 제조장치를 청구범위로하는 특허권의 효력이 미치지 않는게 맞을까요?(요약하면 제조장치의 발명에 제조 장치가 사용하는 방법 자체는 특허권의 효력이 미치지 않는게 맞는걸까요?) 2.“물건(A)을 생산하는 기계(B)를 청구범위로 하는 특허 X의 권리범위는 그 기계(B)로 생산된 물건(A) 및 그 제조방법에는 미치지 않는다.”가 맞는 표현일까요? (2번 질문은 기출에 있는 표현을 살짝 수정한건데, 제조장치 발명이 생산된 물건에는 효력이 미치지 않는건 알겠지만 제조 방법에 미치지 않는다는 표현이 헤깔려서 질문 드립니다. 어찌보면 1번 질문과 2번질문은 같은 취지의 질문인거 같습니다.) 좋은 답변 늘 감사합니다!","안녕하세요? 임변입니다. 1. 네. 효력이 미치지 않습니다. 2. 물건에는 미치지 않고, 그 제조방법에는 그 제조방법이 제조장치를 사용하는 것이라고 미치고, 그렇지 않다면 미치지 않습니다. 열공하세요~", ,,17.07.27
특허법,조문,16조,16조] 방식심사에서 무효와 불수리의 차이,"안녕하세요, 임병웅 변리사님. 방식심사 부분을 공부하다가 보정가능한 경미한 흠결이 있을 경우 무효 처리를 하게 되고, 보정불가능한 중대한 흠결일 경우 불수리를 한다고 나와있는데요. 무효의 효과는 '해당 절차가 처음부터 없었던 것으로 본다'고 하고 불수리의 효과느 '적법한 출원서류로 보지 아니한다. 즉 그 제반절차의 효과는 발생하지 아니한 것으로 본다'라고 나와있습니다. 제가 보기엔 무효의 효과와 불수리의 효과가 비슷한 것으로 느껴져서 둘 효과의 차이점이 무엇인지 궁금합니다. 언제나 좋은 강의 감사합니다.","안녕하세요? 임변입니다. 1. 무효의 경우 보정명령을 하여 고칠 수 있는 기회를 부여하는 반면, 불수리의 경우 고칠 수 있는 기회를 주지 않습니다. 2. 무효의 경우 정규성이 인정되어 조약우선권주장의 기초가 될 수 있는 반면, 불수리의 경우 그렇지 않습니다. 참고로 법조문이 매칭이 되지 않네요. 16조로 수정해 주세요. 열공하세요~", ,,17.08.06
특허법,문제,8조,[8조]법정대리인의 소멸사유에 대해 질문드립니다,사진으로 첨부한 객관식 특허법 p44 9번 문제에서 (1번 본인의 사망)은 대리권의 불소멸 사유가 아닌가요? 4번 보기가 소멸사유가 아니라는 것은 알겠으나 본인이 사망하면 법정 대리인의 자격이 상실되어 대리권이 소멸되는 것인가요?,"안녕하세요? 임변입니다. 제가 오히려 묻고 싶네요. 본인이 사망했는데, 법정대리인의 대리권이 유지될 수 있을까요?^^ 법정대리인의 정의를 한 번 생각해 보면 될 것 같네요. 법정대리인은 본인과의 관계에서 법률에 의해 대리인이 된 자를 말합니다. 제목이 질문규칙에 맞지 않습니다. 수정해 주세요~", ,,17.08.14
특허법,조문,11조,11조 복수당사자대표에 대해 질문있습니다,"2017 특허법 강의노트 32쪽 2015년도 변시기출문제에서 보기 2번에서 ""복수의 당사자 중 일부만 대리인을 선임한 경우 그 대리인은 전원을 대표하여 특허에 관한 절차를 밟을수있고,특허법 제11조 1항 각호에 규정된 절차에 관하여도 전원을 대표하여 절차를 밟을수 있다""라고 쓰여있는데 후단부분에서 전원을 대표할 수 있다는 것이 틀렸고, 공동으로 절차를 밟아야 한다는 것은 알겠습니다그런데 전단부분에서 일부만 대리인을 선임하면 11조 1항 각호의 범위가 아닌 부분에 대해서는 각자대표가 원칙인데(대표자를 정하지 않았으니)전원을 대표하여 단독으로 절차를 밟는다는 부분도 맞는 부분인가요? 각자대표이니 다른 사람들도 절차를 밟을 수 있으니 대리인이 전원을 대표하여 절차를 밟을 수있다는 여부의 판단을 하기가 헷갈리네요...","임변입니다. 전원을 대표하여 특허에 관한 절차를 밟을 수 있다는 것은, 각자가 밟은 절차의 효력이 전원에게 발생한다는 의미입니다. 열공하세요~ 답글기능 더보기", ,,17.08.17
특허법,조문,14조,[14조] '월 또는 연의 처음부터 기간을 기산하지 아니하는 경우'의 의미,"안녕하세요 기간의 계산에서 만료일의 결정은 원칙적으로 '최후 월의 기산일 전일로 만료' 한다고 알고 있습니다 그런데 14조 3호에서 '월 또는 연의 처음부터 기산하지 않는 경우에는' 이라는 표현이 있어 월 또는 연의 처음부터 기산하는 경우에는 만료일은 전일로 만료하지 않는 것인지 궁금합니다? 예컨대, 10월 1일 0시부터 1개월 후라면 10월 1일을 기산일로하여 11월 1일이 만료일이 되는건가요? 혹은 전일로하여 10월 31일로 만료되는건가요? 법조문에서 어떤 점을 혼동하고 있는지 궁금합니다","안녕하세요? 임변입니다. 10월 31일로 만료됩니다. 월 또는 연의 처음부터 기산하는 경우란 그 월이나 연이 처음부터 만들어진 경우를 말하는 것으로서, 기간계산시에는 의미가 없는 내용입니다. 열공하세요~ 답글기능 더보기", ,,17.08.18
