과목,분류,대상_식별자,질문_제목,질문_내용,답변,추가질문,재답변,날짜
특허법,조문,132조의2,[132조의2 특허취소신청] 청구기간 질문입니다,임병웅 변리사님 안녕하십니까? 132조의2를 보면 누구든지 특허권의 설정등록일부터 등록공고일 후 6개월이 되는 날까지 특허취소신청을 할 수 있다고 되어 있습니다 그런데 이지특허법 1177페이지의 그림을 보면 점선 박스에 6개월이라고 표시된 부분이 설정등록일을 포함하고 있지 않은데요 이 경우 설정등록일을 포함해서 등록공고일 이후 6개월까지인지 등록공고일을 기산일로 해서 6개월까지인지 궁금합니다,"안녕하세요? 임변입니다. 취소신청기간은 시작일이 설정등록일이며, 만료일이 등록공고일후 6개월입니다. 그림은 취소신청기간의 만료일을 그린 것이며, 취소신청기간의 시작일까지 포함하여 그린 것이 아닙니다. 열공하세요~ 답글기능 더보기", ,,17.07.11
특허법,조문,132조의3,[132조의3]정정청구의 회수,"첨부한 그림에서와 같이, 특허취소신청절차에서의 정정청구는 '원칙적으로 1회 기회 부여' 한다고 이지특허법 책에 나와있습니다. 그런데 이와 관련하여 법조문이나 관련 부분에서 어떠한 설명이 없습니다ㅠ 더욱이 132조의3 2항에서는 '그 정정청구 전에 한 정정청구는 취하된 것으로 본다' 라고 하여, 복수의 정정청구를 전제하고 있다고 보여집니다. 이 부분에 대하여 설명을 부탁드립니다","안녕하세요? 임변입니다. 의견서 제출기간내에서 정정청구를 할 수 있으니, 원칙적으로 1번 가능하다는 것입니다. 다만, 의견서 제출기간이 여러번 주어진다면 그 때마다 정정청구를 할 수는 있습니다. 열공하세요~", ,,17.07.13
특허법,조문,132조의4,[132의4] 취소신청서 보정기간,안녕하세요 특허권의 설정등록일로부터 등록공고일 후 6개월이 되는 날까지의 기간(그 기간 중 심판장의 특허의 취소이유 통지가 있는 경우에는 통지한 때까지로 한정한다.)에 특허취소 신청의 이유 및 증거의 표시를 보정하는 경우에는 그렇하지 아니하다. 위 말은 요지변경에 해당하지 않고 취소신청의 이유 및 증거의 표시가 아닌 다른 부분에 대한 보정은 심리종결 전 까지 할 수 있다는 뜻인가요? 아니면 취소신청서의 보정 자체가 위 기간안에만 해야 된다는 뜻인가요. 감사합니다.,"안녕하세요? 임변입니다. 취소신청서의 보정은 심리종결전까지 가능하나, 특허권의 설정등록일로부터 등록공고일 후 6개월이 되는 날까지의 기간(그 기간 중 심판장의 특허의 취소이유 통지가 있는 경우에는 통지한 때까지로 한정한다.)내에 특허취소신청의 이유 및 증거의 표시를 보정하는 경우에는 요지변경이 아니라는 의미입니다. 열공하세요~", ,,17.08.29
특허법,조문,132조의3,[132의 3] 정정청구를 할 수 있는 자,"안녕하세요 정정청구와 정정심판을 비교하여 공부하던 중입니다. 정정심판 136조 8항의 주체적 요건에서는 동의를 받아야 하는 자가 '무효심판'을 청구한 경우 동의를 받지 않아도 된다 하였고, 이를 준용한 정정청구의 주체적 요건에서는 동의를 받아야 하는 자가 '특허취소신청, 무효심판'을 청구하는 경우 동의를 받지 않아도 청구가 가능하다고 책에서 기술하고 있습니다. 그런데 136조 8항 및 이를 준용하고 있는 132의3 3항/ 133의2 4항/ 137조 4항에서는 '특허취소신청'을 한 경우에 대한 언급이 없는데요. 여기서 특허취소신청을 한 경우까지 제외되는 것으로 설명된 것은 그 특허취소신청을 한 자가 정정청구의 청구인의 이익과는 상반된 이익을 가진자임을 간주하여 그런것인지, 아니면 다른 근거 조항이 있는 것인지 궁금합니다!","안녕하세요? 임변입니다. 법 제132조의3제3항에서 제136조제8항을 준용한다는 것은, 동의를 받아야 하는 자가 특허취소신청을 한 경우 제외한다는 의미로, 법 제133조의2제4항에서 제136조제8항을 준용한다는 것은, 동의를 받아야 하는 자가 특허무효심판을 청구한 경우 제외한다는 의미로, 법 제137조제4항에서 제136조제8항을 준용한다는 것은, 동의를 받아야 하는 자가 정정무효심판을 청구한 경우 제외한다는 의미로, 해석이 됩니다. 열공하세요~", ,,17.09.03
특허법,조문,132조의13,(132의13 5항) 결정에 대한 불복,안녕하세요 변리사님 심판관합의체의 취소신청 기각결정에 대해 불복할 수 없는건 조문에 나와있지만 심판관합의체의 취소신청 각하결정은 왜 불복할 수 없는가요? 타 심판절차는 적법성 심리로 각하될 경우 특허법원에 불복가능한데 비해 취소신청은 불복하지 못하는 이유가 궁금합니다. 감사합니다.,안녕하세요? 임변입니다. 특허무효심판으로 불복하라는 것입니다. 이 역시 조문에 나와 있습니다. 근거조문은 법 제132조의6입니다. 열공하세요~, ,,17.09.23
특허법,조문,132조의3,제132조의3(특허취소신청절차에서의 특허의 정정) 취소신청에 대한 심취소 계속중 정정인용시,"안녕하십니까 변리사님 특허취소신청 부분 공부를 하다가 헷갈리는 부분이 생겨 질문드립니다. 이지특허법 1162p 본문에 ②측허취소신청, 특허무효심판이 특허법원에 계속중인경우 2) 한편, 특허법원애 특허취소결정에 대한 취소소송이 계속중 정정심결이 확정된 경우에는 특허법원이 사실심이기는 하나 심리범위가 제한될 것이기 때문에, 결정을 취소하고 환송함이 타당해 보인다. 라고 기재되어 있습니다. 제가 이해가 되지 않는 부분은 ""사실심 제한설""을 취하는 특허취소결정에 대한 취소소송에서 특허법원의 취소환송 조치 입니다. 제한설을 취한다는 말이, 새로 바뀌는 사실에 대해서는 인정하지 아니하고, 기존(심결당시)에 있던 사실만 가지고 판단한다는 말인 것 같은데, 이 논리에 따르면 특허법원단계에서는 정정이 인용되는 말든 특허취소결정 당시의 도면 등 사실상태를 기초로 위법여부를 판단하여야 할 것 같습니다. 헌데, 정정이 인용되면 특허법원단계에서는 그 취소결정을 취소하고 환송한다는것이 이해가 되질 않습니다. 제한설/무제한설을 나누는 실익이 출원인에게 의견서제출기회를 부여하기 위함이라면, 취소결정에 대한 취소소송단계에서도 역시 출원인에게 심판원에서 한번 더 심리를 거치게 할 기회를 주기 위함이라고 이해하는것이 타당한가요?? 저작자 표시컨텐츠변경비영리","정정의 소급효을 이해해야 할 듯 합니다. 정정의 소급효에 의해 정정된 내용대로 출원된 것이기 때문에,, 심결당시의 대상이 정정후 명도가 되는데, 심리범위가 제한적이기 때문에 정정후 명도 가지고는 심리할 수 없고, 그래서 취소환송한다는 것입니다.", ,,17.09.27
특허법,조문,132조의9,[132의9]특허취소신청시 부본송달,"특객 풀다가 의문이 생겨서 질문드립니다. ""심판장은 특허취소신청이 있으면 그 사실을 해당 특허권의 전용실시권자나 그 밖에 그 특허에 관하여 등록을 한 권리를 가지는 자에게 알려서 보조참가의 기회를 주어야한다"" 특허취소신청이 있으면 특허권자외에 전용실시권자나 그 밖에 그 특허에 관하여 등록을 한 권리를 가지는자에게 부본송달해 주나요? 특허취소신청제도가 결정계의 일종으로 아는데 결정계는 부본송달 안해주잖아요 그래서 틀렸다고 생각했고 관련 법조항이 없는거 같더라구요.",법 제132조의4제4항과 제132조의9를 한 번 읽어 보세요., ,,17.10.09
특허법,조문,133조의2,[133의2]특허무효심판중의 정정청구 관련질문드립니다.,변리사님 안녕하세요~ 특허무효심판 도중 정정청구를 함에 있어 수회의 정정청구가 있었다면 마지막에 한 정정청구 이전의 모든 정정청구는 취하간주된다고 알고있습니다. 그렇다면 마지막으로 정정한 것이 부적법한것으로 판단될 때에는 그 전에한 모든정정은 이미 취하간주되었기때문에 단 1회도 정정이 되지않은 최초의 명세서로 무효심판 심리를 진행하게 되는것인지 궁금합니다. 환절기에 감기조심하세요:) 감사합니다.,안녕하세요? 네. 그렇습니다. 열공하세요~, ,,17.10.10
특허법,조문,132조의6,[132조의6] 합의체가 결정으로 취소신청 각하 VS [142조] 합의체가 심결로써 심판청구 각하,"제141조(심판청구서 등의 각하 ① 심판장은 다음 각 호의 어느 하나에 해당하는 경우에는 기간을 정하여 그 보정을 명하여야 한다. 1. 심판청구서 기재불비 2. 행대방수 위반 ② 심판장은 제1항에 따른 보정명령을 받은 자가 지정된 기간에 보정을 하지 아니하거나 보정한 사항이 제140조제2항 또는 제140조의2제2항을 위반한 경우에는 심판청구서 또는 해당 절차와 관련된 청구나 신청 등을 결정으로 각하하여 한다. 제142조(보정할 수 없는 심판청구의 심결각하) 부적법한 심판청구로서 그 흠을 보정할 수 없을 때에는 피청구인에게 답변 서 제출의 기회를 주지 아니하고, 심결로써 그 청구를 각하할 수 있다. 제132조의5(특허취소신청서 등의 보정ㆍ각하) ① 심판장은 다음 각 호의 어느 하나에 해당하는 경우에는 기간을 정하여 그 보정을 명하여야 한다. 1. 특허취소신청서 기재불비 (취소신청 이유 증거표시는 제외) 2. 행대방수 위반 ② 심판장은 제1항에 따른 보정명령을 받은 자가 지정된 기간에 보정을 하지 아니하거나 보정한 사항이 제132조의4제 2항을 위반한 경우에는 특허취소신청서 또는 해당 절차와 관련된 청구 또는 신청 등을 결정으로 각하하여야 한다. 제132조의6(보정할 수 없는 특허취소신청의 각하결정) ① 제132조의7제1항에 따른 합의체는 부적법한 특허취소신청으로서 그 흠을 보정할 수 없을 때에는 제132조의4제3항 에도 불구하고 특허권자에게 특허취소신청서의 부본을 송달하지 아니하고, 결정으로 그 특허취소신청을 각하할 수 있다. 질문1 : ""심결""을 내리는 주체는 합의체이므로 142조의 주체는 합의체...라고 배웠던것 같습니다. 이 내용과 수업중 ""독립적 심판에서 심결은 합의체가 하고, 결정은 심판장이 한다""라는 내용에 부합하는 건가요? 질문2 : 위 4조문을 비교해보면 취소신청절차가 대부분 심판규정과 비슷한데, 제가 칠한 파란색부분만 좀 다릅니다. 142조에서는 심결로써 각하 vs 132조의6에서는 결정으로 각하... 이유가 뭔지요?","1. 네. 다만, 부수적 심판에 대한 것은 합의체가 하더라도 결정이라고 합니다. 2. 취소신청은 심판이 아니기 때문에 합의체가 하더라도 모두 결정이라고 하고 있습니다. 심결이라는 것은 심판의 결론이라는 의미를 가지고 있습니다. 열공하세요~", ,,17.10.13
특허법,문제,132조의3,"[132조의 3, 132조의 13] 특허취소신청에서 특허정정청구 기간질문드립니다","특객 826쪽 보기 1번 특허취소신청절차가 진행 중인 특허에 대한 특허권자는 취소신청의 직권심리에 의한 의견서 제출기간에 특허발명의 명세서 또는 도면에 대해 정정청 할 수있다 (x) 이렇게 되어있는데 해설에서는"" 취소결정을 하려고 취소이유 통지하고 의견서 제출기회를 주었을때라고"" 하여 132의3 1항을 설명하고있습니다. 이 또한 변리사님께서 수업에서 설명하신게 기억이 납니다만 보기 지문처럼 의견서 제출기회를 주는 것이 132의13 2항에서 특허취소신청에서는 직권심리에서 취소사유있을때'만' 이라고도 배운거같아서 결국 보기와 132의3 1항과 같은말아닌가요? 취소사유없었으면 의견서 제출기회를 애초에주지 않았을꺼라고 판단돼서 결국 직권심리에 대한 의견서 제출기간에 명세서 또는 도면에대해 정정청구 할수있다는 보기1 지문도 맞는거아닌가요?","일반적인 심판과 달리, 직권심리하면 무조건 의견제출기회를 주지 않는다는 점에서 틀린 지문입니다. 열공하세요~", ,,17.11.15
